model,light_strength,ambient_strength,psnr,psnr_std
Gargoyle_B0BYTQT173_Dragon,3.5,0.05,18.459490028511684,0.8270232901636843
Gargoyle_B0BYTQT173_Dragon,2.5,0.25,21.283878570255727,0.6218914973248162
Gargoyle_B0BYTQT173_Dragon,1.5,0.25,19.8352571477689,0.4698294000114851
Gargoyle_B0BYTQT173_Dragon,4.5,0.01,15.14108885361802,0.7304444720212916
Gargoyle_B0BYTQT173_Dragon,4.5,0.05,14.902478036391495,0.7112230134013392
Gargoyle_B0BYTQT173_Dragon,3.0,0.05,20.993809552670267,0.6464315702681147
Gargoyle_B0BYTQT173_Dragon,2.5,0.15,22.44096766242454,0.6135087578050189
Gargoyle_B0BYTQT173_Dragon,2.0,0.1,20.67804668173152,0.7443293550912524
Gargoyle_B0BYTQT173_Dragon,2.5,0.04,22.143839425088032,0.9038613610035687
Gargoyle_B0BYTQT173_Dragon,3.0,0.2,19.160716806118778,0.7182518845129349
Gargoyle_B0BYTQT173_Dragon,1.5,0.05,15.652425468383555,0.3748082070386528
Gargoyle_B0BYTQT173_Dragon,2.0,0.03,19.04626996394819,0.7181306515152635
Gargoyle_B0BYTQT173_Dragon,5.0,0.25,12.815469477587598,0.4424757808220143
Gargoyle_B0BYTQT173_Dragon,4.5,0.15,14.258003124680366,0.6154763872973787
Gargoyle_B0BYTQT173_Dragon,5.0,0.02,13.933641444466051,0.6338081791085595
Gargoyle_B0BYTQT173_Dragon,2.0,0.02,18.79509558141833,0.7202012088315896
Gargoyle_B0BYTQT173_Dragon,4.5,0.2,13.949456865148345,0.563387120670363
Gargoyle_B0BYTQT173_Dragon,5.0,0.04,13.83809698086559,0.622535588238622
Gargoyle_B0BYTQT173_Dragon,2.5,0.1,22.574205839351702,0.6926877894924071
Gargoyle_B0BYTQT173_Dragon,3.0,0.02,21.154342841768926,0.617355742199056
Gargoyle_B0BYTQT173_Dragon,4.0,0.02,16.64349323379086,0.8092757828150796
Pottery_B0CJJ59SLH_BlueHairFairy,4.0,0.03,17.291477263708735,1.3712431425862845
Pottery_B0CJJ59SLH_BlueHairFairy,3.0,0.1,19.470514219131154,1.026773510788988
Pottery_B0CJJ59SLH_BlueHairFairy,2.0,0.2,22.549113196762853,0.8720140788659541
Pottery_B0CJJ59SLH_BlueHairFairy,3.5,0.15,18.050482920892822,0.6899020936071788
Pottery_B0CJJ59SLH_BlueHairFairy,3.5,0.03,18.0879386218351,1.5643860696122216
Pottery_B0CJJ59SLH_BlueHairFairy,5.0,0.2,17.052135139997496,0.6189678053297906
Pottery_B0CJJ59SLH_BlueHairFairy,1.0,0.05,11.217115351983287,0.2631811208457693
Pottery_B0CJJ59SLH_BlueHairFairy,2.5,0.2,20.97278297547421,0.4550595890466056
Pottery_B0CJJ59SLH_BlueHairFairy,4.5,0.04,16.933418600442764,1.1619914118072179
Pottery_B0CJJ59SLH_BlueHairFairy,3.5,0.01,17.986110138857008,1.9434800511957533
Pottery_B0CJJ59SLH_BlueHairFairy,3.5,0.02,18.052274554765756,1.728809600422195
Pottery_B0CJJ59SLH_BlueHairFairy,3.0,0.01,19.152863405164645,2.2968236781107745
Pottery_B0CJJ59SLH_BlueHairFairy,2.5,0.05,20.29114098705484,1.8916758632041717
Pottery_B0CJJ59SLH_BlueHairFairy,4.5,0.03,16.884829365233852,1.2707050089513094
Pottery_B0CJJ59SLH_BlueHairFairy,4.0,0.2,17.447271916631824,0.6395770490293647
Pottery_B0CJJ59SLH_BlueHairFairy,3.0,0.04,19.414060660338926,1.7422451073549832
Pottery_B0CJJ59SLH_BlueHairFairy,1.0,0.02,10.496045932675601,0.354997433902902
Pottery_B0CJJ59SLH_BlueHairFairy,5.0,0.03,16.662539801701943,1.2274228588344178
Pottery_B0CJJ59SLH_BlueHairFairy,1.5,0.1,16.42743659040449,0.6185708654103123
